Packet;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5;Channel 6
786851;-405976524;-401392516;-9239027;882653;22877384;64738141
786852;140825988;140328768;-9241642;852292;22836646;38642875
786853;163599270;157146065;-9240311;868275;22859089;68853760
786854;-416005742;-408795643;-9223782;873271;22840349;34697890
786855;396783790;390268228;-9226406;871982;22836224;72567667
786856;-195211763;-195597512;-9267396;850380;22807210;31167735
786857;-154715148;-150213747;-9227694;873591;22828023;75830690
786858;378897749;370215112;-9265762;853781;22811784;28171191
786859;-430808004;-425368977;-9268902;845422;22812522;78533922
786860;202873591;201151658;-9219234;890043;22860544;25772454
786861;99023347;93494668;-9250952;874188;22834935;80606327
786862;-384955127;-377845030;-9231257;858534;22828407;24056541
786863;416565636;409276036;-9238003;868334;22841911;81976810
786864;-254842568;-253983978;-9277661;857339;22824964;23011144
786865;-88638967;-85122478;-9233399;856665;22839872;82678314
786866;343133077;334661009;-9251673;856785;22815701;22686481
786867;-445485175;-439334203;-9255863;858218;22813700;82663074
786868;259643084;256717760;-9218432;870792;22843225;23102336
786869;31776537;27311590;-9247697;850513;22834867;81864179
786870;-344821751;-338011400;-9217911;862698;22833070;24261781
786871;425972633;418037269;-9234005;869226;22834756;80365320
786872;-308513809;-306465237;-9264256;858026;22837491;26076245
786873;-20643221;-18213781;-9221077;870510;22840477;78223278
786874;298852608;290771118;-9249053;861166;22822062;28549171
786875;-449494331;-442824064;-9238067;863782;22837269;75486195
786876;309909141;305820010;-9215159;884398;22840507;31619741
786877;-36467328;-39795251;-9264631;843362;22808925;72149094
786878;-296582536;-290242705;-9219421;877060;22842376;35196458
786879;424759261;416376541;-9245649;844433;22815906;68313757
786880;-354945280;-351786931;-9272678;852002;22823978;39187485
786881;47592128;48832354;-9227562;856716;22827758;64131101
786882;246968883;239430263;-9231069;865745;22850500;43511910
786883;-442956206;-435932808;-9251349;831756;22813474;59702954
786884;352278519;347093717;-9227409;863987;22831342;48049514
786885;-104191466;-106325102;-9229836;871914;22838912;55078788
786886;-241466734;-235781482;-9265557;839185;22808524;52733538
786887;412930807;404287496;-9244177;850022;22820279;50368345
786888;-393080490;-388850675;-9227289;865877;22864371;57406310
786889;114348142;114385540;-9231010;840123;22833467;45743965
786890;188776209;182006890;-9236505;857856;22856345;61956023
786891;-425913245;-418687257;-9200588;879620;22881467;41316433
786892;385880115;379729019;-9262126;830762;22806536;66270894
786893;-169575854;-170468232;-9233962;884121;22876949;37135406
786894;-180727389;-175844932;-9233301;863086;22854075;70292569
786895;390777489;382081190;-9242116;860177;22842380;33315588
786896;-421919530;-416797700;-9245683;851063;22844066;73872149
786897;178073894;176858683;-9225416;853128;22840908;30012710
786898;125721672;119836898;-9240516;875989;22865450;76917115
786899;-398729962;-391566152;-9211161;866995;22867682;27229128
786900;409757943;402748676;-9253158;842790;22826726;79369945
786901;-231150758;-230829956;-9248652;861529;22840042;25086199
786902;-115861444;-111951232;-9198549;860697;22858141;81221457
786903;358857548;350267310;-9243878;854690;22850743;23601518
786904;-440707008;-434836471;-9224721;875153;22867754;82364100
786905;237235200;234785860;-9247918;852992;22842572;22807342
786906;59378982;54464947;-9242321;883840;22870284;82760051
786907;-362225937;-355296093;-9231189;854946;22839040;22773350
786908;423461201;415766370;-9245504;827716;22824682;82440260
786909;-287389282;-285842773;-9220522;875221;22866077;23456064
786910;-48476053;-45610286;-9218705;855415;22831786;81378022
786911;317882274;309609510;-9243648;855863;22821474;24816221
786912;-449148104;-442670523;-9237879;846950;22816128;79663479
786913;290270630;286646272;-9243716;839556;22825139;26867008
786914;-8677184;-12471470;-9228326;883221;22871261;77238276
786915;-317182003;-310615394;-9217984;858577;22857625;29586564
